Welcome to the profile statistics browser.
profile.txt% profile.txt% Tue Sep 29 15:08:21 2020    profile.txt

         4711831 function calls (4499771 primitive calls) in 36.976 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      305    0.004    0.000    0.242    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:1262(storevar)
      100    0.001    0.000    0.239    0.002 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:684(__call__)
     3610    0.236    0.000    0.236    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/ffi.py:111(__call__)
     1649    0.009    0.000    0.232    0.000 <__array_function__ internals>:2(unique)
        5    0.000    0.000    0.231    0.046 /usr/local/lib64/python3.8/site-packages/numba/core/typed_passes.py:205(run_pass)
     1032    0.018    0.000    0.229    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        5    0.000    0.000    0.229    0.046 /usr/local/lib64/python3.8/site-packages/numba/core/cpu.py:195(get_executable)
       13    0.000    0.000    0.228    0.018 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:492(get_pointer_to_function)
    27/20    0.000    0.000    0.228    0.011 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:123(_ensure_finalized)
       10    0.005    0.001    0.227    0.023 /usr/local/lib64/python3.8/site-packages/numba/core/rewrites/registry.py:54(apply)
     1602    0.127    0.000    0.227    0.000 /home/alkis/Code/pytorch_kge/loss_functions.py:28(forward)
     1185    0.004    0.000    0.222    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
     7499    0.221    0.000    0.221    0.000 {method 'eq' of 'torch._C._TensorBase' objects}
     1185    0.013    0.000    0.218    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
   118098    0.218    0.000    0.218    0.000 {built-in method torch._C._get_tracing_state}
        5    0.000    0.000    0.217    0.043 /usr/local/lib64/python3.8/site-packages/numba/core/untyped_passes.py:1499(run_pass)
   116502    0.215    0.000    0.215    0.000 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/module.py:758(__getattr__)
     7182    0.043    0.000    0.214    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/instructions.py:13(__init__)
     1649    0.013    0.000    0.214    0.000 /usr/local/lib64/python3.8/site-packages/numpy/lib/arraysetops.py:149(unique)
     3781    0.010    0.000    0.208    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/ir.py:577(list_vars)
17358/16194    0.036    0.000    0.208    0.000 {built-in method builtins.next}
     1862    0.041    0.000    0.206    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     4806    0.067    0.000    0.204    0.000 /usr/local/lib64/python3.8/site-packages/numpy/lib/shape_base.py:512(expand_dims)
      656    0.002    0.000    0.201    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/runtime/context.py:220(decref)
        4    0.000    0.000    0.198    0.049 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:233(create_cpython_wrapper)
        4    0.000    0.000    0.198    0.049 /usr/local/lib64/python3.8/site-packages/numba/core/cpu.py:153(create_cpython_wrapper)
      171    0.002    0.000    0.197    0.001 /usr/lib64/python3.8/sre_parse.py:937(parse)
        1    0.000    0.000    0.195    0.195 /usr/local/lib64/python3.8/site-packages/numpy/__init__.py:1(<module>)
  531/171    0.007    0.000    0.193    0.001 /usr/lib64/python3.8/sre_parse.py:435(_parse_sub)
  760/184    0.050    0.000    0.189    0.001 /usr/lib64/python3.8/sre_parse.py:493(_parse)
      636    0.002    0.000    0.187    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:1325(decref)
     1649    0.050    0.000    0.186    0.000 /usr/local/lib64/python3.8/site-packages/numpy/lib/arraysetops.py:309(_unique1d)
        1    0.000    0.000    0.181    0.181 /usr/local/lib64/python3.8/site-packages/numba/misc/special.py:1(<module>)
        1    0.000    0.000    0.181    0.181 /usr/local/lib64/python3.8/site-packages/numba/core/typing/__init__.py:1(<module>)
        1    0.000    0.000    0.180    0.180 /usr/local/lib64/python3.8/site-packages/numba/core/typing/context.py:1(<module>)
     8529    0.034    0.000    0.180    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:212(__init__)
        1    0.000    0.000    0.176    0.176 /usr/local/lib64/python3.8/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.176    0.176 /usr/local/lib64/python3.8/site-packages/pandas/core/groupby/generic.py:1(<module>)
27687/24499    0.102    0.000    0.174    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/abstract.py:118(__hash__)
        1    0.000    0.000    0.164    0.164 /usr/local/lib64/python3.8/site-packages/numba/core/typeconv/rules.py:1(<module>)
        1    0.000    0.000    0.163    0.163 /usr/local/lib64/python3.8/site-packages/numba/core/typeconv/rules.py:15(_init_casting_rules)
       40    0.000    0.000    0.163    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/typeconv/castgraph.py:119(insert_rule)
       37    0.001    0.000    0.163    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/base.py:266(refresh)
106313/106200    0.158    0.000    0.162    0.000 {built-in method builtins.getattr}
     7499    0.162    0.000    0.162    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
       40    0.022    0.001    0.160    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/typeconv/castgraph.py:92(propagate)
     3204    0.016    0.000    0.158    0.000 <__array_function__ internals>:2(prod)
        5    0.000    0.000    0.157    0.031 /usr/local/lib64/python3.8/site-packages/numba/core/ssa.py:26(reconstruct_ssa)
        5    0.000    0.000    0.157    0.031 /usr/local/lib64/python3.8/site-packages/numba/core/ssa.py:36(_run_ssa)
        5    0.000    0.000    0.149    0.030 /usr/local/lib64/python3.8/site-packages/numba/core/untyped_passes.py:79(run_pass)
        5    0.001    0.000    0.149    0.030 /usr/local/lib64/python3.8/site-packages/numba/core/interpreter.py:103(interpret)
        5    0.000    0.000    0.147    0.029 /usr/local/lib64/python3.8/site-packages/numba/core/untyped_passes.py:192(run_pass)
       39    0.001    0.000    0.146    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:736(lower_call)
2109/1962    0.009    0.000    0.146    0.000 /usr/lib64/python3.8/typing.py:255(inner)
       23    0.001    0.000    0.144    0.006 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:562(lower_binop)
        1    0.000    0.000    0.142    0.142 /usr/local/lib64/python3.8/site-packages/numba/core/decorators.py:1(<module>)
     6524    0.031    0.000    0.142    0.000 <__array_function__ internals>:2(concatenate)
       42    0.000    0.000    0.141    0.003 /usr/local/lib64/python3.8/site-packages/numba/core/typing/context.py:151(refresh)
        1    0.000    0.000    0.140    0.140 /usr/local/lib64/python3.8/site-packages/numba/stencils/stencil.py:6(<module>)
       38    0.001    0.000    0.139    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:979(_lower_call_normal)
      331    0.004    0.000    0.138    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:1286(delvar)
     8606    0.024    0.000    0.137    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:232(_set_name)
        6    0.000    0.000    0.136    0.023 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:141(_optimize_final_module)
        1    0.000    0.000    0.134    0.134 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:569(_build_master)
        1    0.000    0.000    0.134    0.134 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:556(__init__)
        1    0.000    0.000    0.132    0.132 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/requirements.py:4(<module>)
3922/3402    0.014    0.000    0.132    0.000 {built-in method builtins.sorted}
       20    0.000    0.000    0.130    0.006 /usr/local/lib64/python3.8/site-packages/numba/core/postproc.py:155(_insert_var_dels)
       20    0.021    0.001    0.130    0.006 /usr/local/lib64/python3.8/site-packages/numba/core/postproc.py:175(_patch_var_dels)
    19416    0.079    0.000    0.128    0.000 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/container.py:107(__iter__)
      536    0.004    0.000    0.128    0.000 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:2124(distributions_from_metadata)
     3204    0.016    0.000    0.125    0.000 /usr/local/lib64/python3.8/site-packages/numpy/core/fromnumeric.py:2881(prod)
        1    0.000    0.000    0.120    0.120 /usr/local/lib64/python3.8/site-packages/pandas/core/aggregation.py:1(<module>)
    10245    0.040    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       55    0.000    0.000    0.119    0.002 /usr/local/lib64/python3.8/site-packages/numba/core/postproc.py:51(deadmaps)
        4    0.000    0.000    0.118    0.029 /usr/local/lib64/python3.8/site-packages/numba/core/callwrapper.py:101(build)
        4    0.000    0.000    0.116    0.029 /usr/local/lib64/python3.8/site-packages/numba/core/callwrapper.py:126(build_wrapper)
     8606    0.032    0.000    0.113    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/_utils.py:16(register)
        3    0.000    0.000    0.113    0.038 /usr/local/lib64/python3.8/site-packages/pandas/io/parsers.py:533(read_csv)
        3    0.000    0.000    0.113    0.038 /usr/local/lib64/python3.8/site-packages/pandas/io/parsers.py:420(_read)
      270    0.003    0.000    0.111    0.000 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:2578(from_location)
       21    0.000    0.000    0.111    0.005 /usr/local/lib64/python3.8/site-packages/numba/core/typeconv/castgraph.py:131(unsafe)
      636    0.002    0.000    0.110    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:1238(_alloca_var)
     2260    0.015    0.000    0.110    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/builder.py:942(extract_value)
       18    0.000    0.000    0.110    0.006 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:2011(_by_version_descending)
